id,state,district,village,crop_recommended,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,temperature,humidity,rainfall,latitude,longitude,soil_type,season,year
SHC000043,Rajasthan,Jodhpur,Village_43,banana,201.42,50.45,375.06,6.19,0.73,1.57,21.52,1.65,16.11,1.11,11.77,1.05,25.6,82.8,2234.1,16.6063,86.1508,Laterite,Kharif,2023
SHC000044,Rajasthan,Udaipur,Village_44,groundnut,62.95,37.56,79.6,6.51,0.37,0.99,14.67,0.56,9.7,0.76,3.7,0.89,21.7,55.1,755.0,31.0262,88.751,Alluvial,Kharif,2022
SHC000045,West Bengal,Kolkata,Village_45,banana,147.75,26.75,188.12,5.68,0.64,1.47,21.95,1.9,11.51,1.06,9.81,1.03,22.0,65.5,1315.2,33.8463,91.96,Alluvial,Kharif,2023
SHC000046,West Bengal,Darjeeling,Village_46,banana,234.8,54.4,266.11,8.28,1.15,2.33,25.0,1.81,14.48,2.5,12.41,1.38,31.5,95.0,2335.1,11.4969,93.7737,Alluvial,Rabi,2023
SHC000047,Tamil Nadu,Chennai,Village_47,mustard,78.74,30.84,29.02,5.62,0.72,0.66,10.8,1.0,7.39,0.43,0.1,0.43,22.8,68.4,608.9,23.2748,75.7438,Black,Zaid,2022
SHC000048,Tamil Nadu,Coimbatore,Village_48,wheat,78.05,16.31,41.15,4.88,0.44,0.85,11.53,0.87,4.5,0.4,3.26,0.61,10.0,43.8,303.6,8.245,91.7417,Laterite,Rabi,2024
SHC000049,Karnataka,Bangalore,Village_49,mustard,97.62,32.23,57.29,6.63,0.39,0.95,20.37,0.69,6.27,0.52,4.2,0.3,15.8,68.8,637.9,26.449,80.9312,Black,Rabi,2022
SHC000050,Karnataka,Mysore,Village_50,banana,156.71,41.33,333.27,4.87,0.82,1.67,24.62,1.2,10.23,0.3,4.7,1.78,18.9,64.1,1632.1,31.4393,88.7328,Black,Zaid,2024
SHC000051,Andhra Pradesh,Hyderabad,Village_51,banana,177.14,46.85,285.58,5.47,0.75,2.1,21.57,1.79,11.55,1.62,4.37,2.1,20.7,60.8,1478.4,15.2628,91.1292,Red,Kharif,2022
SHC000052,Andhra Pradesh,Visakhapatnam,Village_52,rice,125.95,25.22,23.04,4.5,0.63,1.04,19.4,0.48,6.26,0.8,1.46,1.09,24.4,57.8,968.1,16.8145,83.0136,Alluvial,Kharif,2022
SHC000053,Punjab,Ludhiana,Village_53,rice,170.73,31.39,216.77,7.64,0.63,1.12,25.0,1.88,14.03,1.81,5.36,0.91,30.7,95.0,1595.4,21.0788,87.1638,Laterite,Rabi,2023
SHC000054,Punjab,Amritsar,Village_54,mustard,132.7,43.49,44.48,7.71,0.77,1.49,12.88,0.89,1.95,0.84,3.38,0.49,17.7,51.9,593.8,22.6469,82.305,Laterite,Rabi,2024
SHC000055,Punjab,Patiala,Village_55,lentil,72.37,15.34,37.33,5.88,0.1,0.46,1.71,1.06,3.04,0.59,0.29,0.18,18.4,50.2,322.6,25.0521,89.2603,Red,Rabi,2023
SHC000056,Haryana,Karnal,Village_56,wheat,102.39,34.74,93.45,7.13,0.33,0.95,0.76,1.34,2.52,0.69,1.88,0.34,24.6,53.0,669.3,34.1852,81.1599,Red,Rabi,2024
SHC000057,Haryana,Ambala,Village_57,sugarcane,367.06,63.2,166.83,6.43,1.04,1.55,22.58,1.35,17.62,0.86,7.01,0.34,30.1,87.8,1937.9,23.0698,83.6573,Laterite,Rabi,2023
SHC000058,Haryana,Kurukshetra,Village_58,rice,191.94,38.04,108.6,5.85,0.63,0.82,20.07,1.27,9.36,0.95,5.63,0.17,39.7,66.3,1321.0,8.8093,76.93,Laterite,Rabi,2023
SHC000059,Uttar Pradesh,Meerut,Village_59,lentil,65.0,11.14,23.42,5.14,0.22,0.63,8.41,0.43,3.76,0.4,1.76,0.21,16.5,57.0,347.1,17.4115,72.6193,Laterite,Rabi,2024
SHC000060,Uttar Pradesh,Agra,Village_60,banana,290.77,54.82,333.75,7.47,0.84,1.68,25.0,2.39,8.86,1.54,10.1,1.35,28.8,84.2,1837.7,22.7012,68.167,Red,Kharif,2023
SHC000061,Uttar Pradesh,Muzaffarnagar,Village_61,maize,140.34,27.7,55.42,5.84,1.09,1.5,19.49,2.4,12.95,1.1,1.25,1.69,19.4,45.3,803.4,24.4134,90.1816,Black,Rabi,2023
SHC000062,Maharashtra,Pune,Village_62,lentil,106.6,18.38,47.62,6.86,0.36,0.56,6.55,0.35,3.86,0.46,1.11,0.5,20.8,60.7,411.6,23.6852,70.5992,Black,Rabi,2023
SHC000063,Maharashtra,Nagpur,Village_63,wheat,135.97,33.41,50.62,7.13,0.77,0.84,15.8,0.72,8.79,0.78,2.42,0.61,21.9,62.1,841.2,31.8736,74.6143,Alluvial,Zaid,2023
SHC000064,Maharashtra,Aurangabad,Village_64,wheat,151.52,36.77,75.31,5.83,0.48,1.01,10.44,1.13,7.78,0.98,3.68,0.55,15.5,53.3,482.8,31.47,81.7139,Alluvial,Kharif,2023
SHC000065,Gujarat,Ahmedabad,Village_65,rice,248.19,73.16,127.7,4.9,0.47,1.77,13.57,2.02,13.03,0.78,4.85,1.29,23.1,73.0,1025.5,14.1197,78.2949,Laterite,Kharif,2022
SHC000066,Gujarat,Vadodara,Village_66,groundnut,44.78,36.96,67.96,6.51,0.1,0.67,22.4,0.66,7.43,0.96,3.21,0.21,26.1,63.4,824.2,33.965,86.4138,Red,Kharif,2024
SHC000067,Gujarat,Rajkot,Village_67,cotton,111.59,31.4,55.71,5.03,0.53,0.2,9.89,0.87,4.15,0.73,1.25,0.45,19.2,47.6,660.7,27.1361,69.0487,Alluvial,Zaid,2023
SHC000068,Rajasthan,Jaipur,Village_68,maize,203.3,41.7,54.22,7.16,0.61,1.26,24.23,1.65,14.21,0.6,6.83,0.25,25.1,91.3,752.1,26.2062,83.442,Black,Rabi,2024
SHC000069,Rajasthan,Jodhpur,Village_69,mustard,95.63,23.95,56.44,5.87,0.51,0.9,20.43,1.14,5.95,0.9,4.39,0.71,18.0,51.9,322.2,17.9234,69.977,Black,Kharif,2024
SHC000070,Rajasthan,Udaipur,Village_70,banana,184.74,48.94,338.92,6.54,0.11,1.33,23.85,1.2,18.0,1.91,11.66,1.39,29.0,85.7,1698.9,34.5593,74.9362,Red,Kharif,2022
SHC000071,West Bengal,Kolkata,Village_71,mustard,113.71,22.62,68.25,7.44,0.32,0.71,12.04,0.85,7.9,0.81,3.88,0.73,24.9,54.4,495.6,21.0041,73.1297,Alluvial,Rabi,2022
SHC000072,West Bengal,Darjeeling,Village_72,rice,91.31,34.13,149.39,6.69,0.26,1.03,11.05,0.7,7.91,0.22,7.09,0.44,24.8,86.7,941.1,20.8525,78.9008,Laterite,Kharif,2023
SHC000073,Tamil Nadu,Chennai,Village_73,maize,234.6,74.5,82.88,7.72,0.96,1.23,25.0,2.32,9.15,0.79,6.55,1.12,34.0,76.4,689.3,9.0266,89.64,Alluvial,Kharif,2024
SHC000074,Tamil Nadu,Coimbatore,Village_74,rice,156.21,11.79,81.14,5.76,0.2,0.49,20.29,1.55,8.56,1.2,2.06,0.21,27.5,56.8,884.8,24.6054,90.4644,Alluvial,Kharif,2023
SHC000075,Karnataka,Bangalore,Village_75,sugarcane,253.14,82.59,159.47,8.37,1.29,1.79,25.0,2.61,15.32,1.44,6.72,1.13,27.1,95.0,1595.4,33.0646,87.6035,Red,Rabi,2022
SHC000076,Karnataka,Mysore,Village_76,chickpea,64.79,27.43,42.66,7.7,0.14,0.94,9.58,1.07,5.1,0.29,2.4,0.45,22.1,49.1,391.4,27.6015,91.7158,Red,Zaid,2024
SHC000077,Andhra Pradesh,Hyderabad,Village_77,wheat,184.34,30.04,83.2,7.66,0.43,0.63,14.11,1.31,6.41,0.44,3.6,0.75,18.6,69.2,649.0,25.7541,77.0169,Alluvial,Rabi,2024
SHC000078,Andhra Pradesh,Visakhapatnam,Village_78,chickpea,76.05,30.49,17.87,7.92,0.32,0.76,10.96,1.03,5.68,0.63,2.38,0.43,10.0,47.1,305.8,25.3709,90.6316,Black,Zaid,2023
SHC000079,Punjab,Ludhiana,Village_79,maize,118.97,78.94,56.72,7.78,0.43,1.26,25.0,2.3,16.18,1.56,6.54,1.18,28.1,58.4,527.3,9.5809,77.6929,Black,Rabi,2023
SHC000080,Punjab,Amritsar,Village_80,wheat,167.9,18.96,91.39,8.38,0.36,0.83,11.44,1.43,8.96,0.7,3.06,0.71,33.1,80.2,531.3,34.7604,89.6694,Red,Kharif,2023
SHC000081,Punjab,Patiala,Village_81,chickpea,35.78,10.6,26.72,6.22,0.1,0.59,11.1,0.58,2.65,0.48,1.45,0.53,13.2,39.5,340.6,21.4045,80.6687,Alluvial,Rabi,2022
SHC000082,Haryana,Karnal,Village_82,wheat,128.65,38.95,58.53,7.01,0.42,0.6,10.54,1.11,5.56,0.55,2.08,0.54,26.3,52.1,597.2,9.6916,94.2867,Alluvial,Kharif,2023
SHC000083,Haryana,Ambala,Village_83,maize,189.88,61.31,75.54,6.55,0.57,1.02,25.0,1.13,6.67,1.37,3.0,1.72,25.3,69.2,528.7,12.0837,74.5342,Black,Kharif,2024
SHC000084,Haryana,Kurukshetra,Village_84,lentil,65.27,26.07,12.16,6.92,0.51,0.53,9.65,0.64,5.73,0.46,1.29,0.28,19.6,58.5,439.5,28.2307,76.427,Red,Rabi,2024
SHC000085,Uttar Pradesh,Meerut,Village_85,sugarcane,162.29,72.05,104.55,5.34,1.1,0.89,9.54,1.65,8.16,1.4,5.43,0.95,22.2,58.1,1233.3,21.4409,71.0587,Laterite,Zaid,2022
SHC000086,Uttar Pradesh,Agra,Village_86,maize,179.25,27.64,48.06,5.84,0.27,0.68,11.01,0.74,9.61,0.97,5.44,1.41,12.7,56.6,352.2,17.8037,94.0184,Red,Rabi,2022
SHC000087,Uttar Pradesh,Muzaffarnagar,Village_87,chickpea,91.12,13.64,26.49,6.33,0.1,0.79,7.97,0.73,3.75,0.28,1.91,0.2,15.6,45.6,349.3,17.0947,76.5982,Black,Rabi,2023
SHC000088,Maharashtra,Pune,Village_88,lentil,68.88,27.9,33.82,5.74,0.21,1.06,7.93,0.45,3.24,0.53,2.44,0.28,18.9,55.3,276.2,20.1595,89.716,Alluvial,Zaid,2023
SHC000089,Maharashtra,Nagpur,Village_89,lentil,76.84,28.0,38.82,7.82,0.43,0.76,8.93,0.69,4.3,0.54,1.92,0.34,22.5,89.3,447.4,14.2846,91.4145,Laterite,Kharif,2024
SHC000090,Maharashtra,Aurangabad,Village_90,wheat,174.6,48.73,122.0,8.08,0.29,1.18,17.4,0.55,8.89,0.8,3.51,0.79,24.8,82.6,632.9,15.8899,94.4123,Black,Zaid,2022
SHC000091,Gujarat,Ahmedabad,Village_91,groundnut,87.05,62.57,107.39,8.99,0.32,1.83,19.32,1.33,9.24,1.13,4.93,0.79,36.1,79.6,1058.3,9.7413,93.4399,Black,Kharif,2022
SHC000092,Gujarat,Vadodara,Village_92,chickpea,126.55,35.87,41.51,8.69,0.27,0.69,12.11,1.06,6.55,0.65,2.91,0.58,37.2,41.9,411.2,19.7341,90.4425,Alluvial,Zaid,2023
SHC000093,Gujarat,Rajkot,Village_93,wheat,109.67,34.35,67.6,6.16,0.16,0.72,15.64,0.6,4.38,0.12,3.31,0.44,19.2,51.1,443.0,20.1626,81.7162,Red,Rabi,2024
SHC000094,Rajasthan,Jaipur,Village_94,sugarcane,154.43,94.25,293.19,7.15,0.92,1.38,12.06,1.27,10.73,1.3,5.77,1.53,26.3,86.8,1269.9,22.3532,93.516,Red,Kharif,2024
SHC000095,Rajasthan,Jodhpur,Village_95,sugarcane,207.5,44.73,84.84,6.21,0.91,1.7,14.19,2.45,10.07,1.56,9.22,1.56,27.2,72.9,639.3,11.2677,80.1495,Laterite,Kharif,2022
SHC000096,Rajasthan,Udaipur,Village_96,maize,151.23,52.11,87.59,7.17,1.0,1.27,25.0,1.04,10.02,1.34,3.39,1.06,31.7,71.7,787.6,22.3773,81.0167,Red,Kharif,2024
SHC000097,West Bengal,Kolkata,Village_97,rice,62.03,42.99,154.22,5.83,0.54,1.05,25.0,0.59,3.57,0.36,2.8,1.07,22.6,64.9,414.2,23.7194,78.764,Alluvial,Rabi,2022
SHC000098,West Bengal,Darjeeling,Village_98,cotton,72.67,51.73,29.56,7.38,1.22,0.13,13.34,0.93,7.65,0.84,2.61,0.8,32.1,55.3,783.6,11.6663,70.8798,Black,Rabi,2024
SHC000099,Tamil Nadu,Chennai,Village_99,maize,71.85,42.68,50.6,5.31,0.55,1.23,7.68,0.61,9.59,0.35,4.27,0.45,26.3,55.0,487.1,16.163,75.5207,Red,Rabi,2022
SHC000100,Tamil Nadu,Coimbatore,Village_100,cotton,120.69,54.52,37.37,6.51,1.08,0.66,10.57,0.99,3.69,0.42,3.56,0.71,24.1,72.2,642.6,11.9956,92.7242,Alluvial,Rabi,2024
SHC000101,Karnataka,Bangalore,Village_101,rice,115.57,57.13,128.18,5.96,0.6,1.49,21.29,1.0,6.43,0.99,2.64,0.81,24.7,91.4,1174.9,22.106,84.3186,Red,Zaid,2024
SHC000102,Karnataka,Mysore,Village_102,cotton,41.89,60.84,48.35,7.46,1.14,0.7,14.58,0.97,5.18,0.56,2.35,0.46,29.4,60.9,150.0,24.918,94.8651,Laterite,Rabi,2023
SHC000103,Andhra Pradesh,Hyderabad,Village_103,lentil,58.41,22.44,25.28,6.11,0.21,0.97,10.86,0.83,5.09,0.48,1.49,0.34,22.4,69.1,445.1,30.8399,85.7945,Laterite,Zaid,2022
SHC000104,Andhra Pradesh,Visakhapatnam,Village_104,lentil,80.62,22.82,16.44,7.35,0.58,0.66,9.01,0.58,4.94,0.23,1.94,0.4,23.7,65.1,322.9,18.8353,76.4829,Laterite,Rabi,2024
SHC000105,Punjab,Ludhiana,Village_105,banana,122.96,48.01,306.31,6.51,0.2,2.4,18.16,1.97,15.04,1.7,14.56,0.85,24.7,85.9,1468.4,27.2767,91.8535,Laterite,Zaid,2023
SHC000106,Punjab,Amritsar,Village_106,cotton,91.55,39.39,42.41,5.1,0.64,0.29,13.34,0.38,3.57,0.59,1.38,0.54,25.6,45.9,740.3,20.6081,77.8708,Laterite,Kharif,2022
SHC000107,Punjab,Patiala,Village_107,banana,249.25,44.21,376.61,8.44,0.28,1.57,25.0,2.39,21.69,1.6,10.98,2.25,30.4,95.0,2109.4,15.5179,71.7584,Laterite,Zaid,2022
SHC000108,Haryana,Karnal,Village_108,wheat,117.98,34.16,80.08,5.36,0.23,0.64,15.01,0.37,0.21,0.47,1.18,0.38,15.4,41.2,770.5,30.1989,92.6601,Laterite,Kharif,2022
SHC000109,Haryana,Ambala,Village_109,groundnut,77.24,40.73,93.46,5.87,0.47,0.82,15.94,1.99,5.58,1.05,4.17,0.71,29.5,74.7,661.1,26.5772,75.0148,Black,Rabi,2023
SHC000110,Haryana,Kurukshetra,Village_110,lentil,85.52,27.95,39.24,8.62,0.22,1.24,7.95,0.42,4.31,0.41,2.13,0.38,27.3,69.7,364.7,17.9288,73.2704,Red,Kharif,2022
SHC000111,Uttar Pradesh,Meerut,Village_111,mustard,69.02,18.26,51.98,6.54,0.54,0.96,13.88,1.45,2.8,0.49,2.9,0.27,17.3,81.6,452.5,33.9947,70.1925,Alluvial,Kharif,2024
SHC000112,Uttar Pradesh,Agra,Village_112,lentil,73.46,13.18,25.61,6.81,0.36,1.02,9.55,0.66,4.62,0.45,3.4,0.32,18.9,65.4,365.9,21.4274,74.6773,Laterite,Rabi,2022
SHC000113,Uttar Pradesh,Muzaffarnagar,Village_113,banana,200.19,25.61,257.6,6.63,0.95,1.49,25.0,0.85,12.18,1.27,7.4,0.88,26.9,86.9,1814.4,15.0076,80.6729,Red,Zaid,2024
SHC000114,Maharashtra,Pune,Village_114,wheat,121.96,19.78,82.34,4.94,0.64,0.85,10.41,0.58,6.9,0.57,0.85,0.59,17.7,65.1,549.9,29.1794,78.9326,Laterite,Rabi,2024
SHC000115,Maharashtra,Nagpur,Village_115,chickpea,97.65,21.38,35.3,7.36,0.21,0.69,16.3,0.73,3.46,0.37,2.6,0.37,19.4,63.2,542.0,32.7975,95.5769,Red,Rabi,2023
SHC000116,Maharashtra,Aurangabad,Village_116,chickpea,83.99,39.96,28.84,9.0,0.31,0.94,13.97,1.09,3.5,0.53,1.23,0.55,33.2,41.8,403.8,30.6708,72.1706,Red,Zaid,2024
SHC000117,Gujarat,Ahmedabad,Village_117,banana,310.55,53.92,331.13,5.72,0.96,1.5,25.0,1.65,16.17,1.74,9.63,2.15,33.7,95.0,2016.4,26.7277,90.3626,Black,Zaid,2023
SHC000118,Gujarat,Vadodara,Village_118,groundnut,74.37,29.27,46.67,6.55,0.1,0.78,11.86,0.79,5.75,1.37,5.23,0.72,31.4,61.5,620.3,27.2408,91.6866,Black,Kharif,2023
SHC000119,Gujarat,Rajkot,Village_119,maize,160.93,65.04,81.81,8.58,0.61,1.13,25.0,1.6,6.75,1.48,5.51,1.89,31.9,76.2,641.3,23.1225,90.6412,Red,Kharif,2024
SHC000120,Rajasthan,Jaipur,Village_120,maize,229.21,80.02,91.31,7.64,1.26,1.51,25.0,2.07,13.26,1.69,5.07,1.03,25.6,83.3,896.8,27.6305,84.3001,Red,Kharif,2022
SHC000121,Rajasthan,Jodhpur,Village_121,maize,171.82,60.74,47.59,5.16,0.1,0.85,25.0,1.43,9.5,0.97,4.01,0.6,22.8,57.1,593.8,22.9231,79.5001,Red,Zaid,2023
SHC000122,Rajasthan,Udaipur,Village_122,mustard,86.85,18.09,62.18,6.5,0.84,0.85,12.65,1.01,6.2,0.53,2.5,0.35,16.3,71.8,433.5,19.6246,93.4616,Alluvial,Rabi,2024
SHC000123,West Bengal,Kolkata,Village_123,maize,193.5,30.59,54.47,5.18,0.69,1.22,22.11,1.06,9.42,1.36,3.96,0.72,21.6,52.5,319.3,23.7189,73.9288,Alluvial,Zaid,2024
SHC000124,West Bengal,Darjeeling,Village_124,chickpea,84.79,30.94,53.65,8.32,0.4,0.76,6.8,0.77,2.92,0.42,3.5,0.42,18.5,63.7,495.5,18.078,84.3461,Alluvial,Kharif,2023
SHC000125,Tamil Nadu,Chennai,Village_125,maize,220.71,64.07,73.27,6.67,0.72,0.8,25.0,1.97,9.31,1.19,2.7,1.15,27.3,64.3,818.7,13.0906,87.5014,Laterite,Rabi,2022
